k,A#1_hz,A#1_db,B1_hz,B1_db,D#2_hz,D#2_db,E2_hz,E2_db,F#2_hz,F#2_db,G#2_hz,G#2_db
1,58.3,-39.9,61.8,-43.2,77.7,-23.8,82.3,-20.6,92.5,-12.4,103.8,-14.3
2,116.6,-9.4,123.6,-10.0,155.4,-11.3,164.5,-13.3,185.0,-5.6,207.7,-4.2
3,174.9,-8.7,185.3,-7.1,233.0,-9.0,246.8,-10.9,277.6,-9.9,311.5,-17.6
4,233.2,-9.4,247.1,-5.6,310.7,-19.3,329.1,-22.7,370.1,-19.1,415.3,-19.5
5,291.6,-19.3,308.9,-31.6,388.4,-30.9,411.3,-27.0,462.6,-17.1,519.1,-23.8
6,349.9,-38.5,370.7,-29.0,466.1,-10.4,493.6,-9.4,555.1,-15.8,623.0,-9.1
7,408.2,-33.3,432.5,-24.7,543.8,-25.0,575.9,-20.8,647.6,-17.0,726.8,-19.2
8,466.5,-17.7,494.2,-15.1,621.4,-9.8,658.2,-8.6,740.2,-13.8,830.6,-24.4
9,524.8,-18.1,556.0,-11.6,699.1,-26.9,740.4,-25.5,832.7,-25.3,934.5,-26.0
10,583.1,-13.7,617.8,-14.3,776.8,-24.1,822.7,-25.8,925.2,-32.3,1038.3,-45.0
11,641.4,-29.6,679.6,-25.0,854.5,-31.1,905.0,-28.8,1017.7,-35.3,1142.1,-29.3
12,699.7,-22.7,741.4,-27.2,932.2,-25.9,987.2,-33.5,1110.2,-32.8,1246.0,-29.5
13,758.0,-20.4,803.1,-32.0,1009.8,-43.9,1069.5,-48.3,1202.8,-29.0,1349.8,-25.7
14,816.3,-24.8,864.9,-24.5,1087.5,-44.5,1151.8,-32.9,1295.3,-23.0,1453.6,-25.7
15,874.7,-19.7,926.7,-37.5,1165.2,-25.0,1234.0,-28.4,1387.8,-23.2,1557.5,-30.9
16,933.0,-30.2,988.5,-42.5,1242.9,-33.1,1316.3,-25.0,1480.3,-26.5,1661.3,-29.7
17,991.3,-43.1,1050.3,-65.2,1320.6,-27.3,1398.6,-23.7,1572.8,-26.1,1765.1,-43.5
18,1049.6,-65.6,1112.0,-40.5,1398.2,-24.0,1480.9,-26.5,1665.4,-29.3,1868.9,-25.9
19,1107.9,-37.8,1173.8,-42.3,1475.9,-28.7,1563.1,-26.1,1757.9,-41.6,1972.8,-23.1
20,1166.2,-33.0,1235.6,-33.6,1553.6,-23.1,1645.4,-31.3,1850.4,-28.3,2076.6,-26.0
21,1224.5,-30.5,1297.4,-24.9,1631.3,-29.4,1727.7,-44.6,1942.9,-24.3,2180.4,-20.4
22,1282.8,-32.1,1359.2,-27.0,1709.0,-38.6,1809.9,-35.4,2035.4,-23.0,2284.3,-26.5
23,1341.1,-31.2,1420.9,-30.8,1786.6,-41.2,1892.2,-31.1,2128.0,-26.1,2388.1,-30.3
24,1399.4,-21.3,1482.7,-28.9,1864.3,-29.3,1974.5,-23.7,2220.5,-23.1,2491.9,-36.7
25,1457.8,-21.9,1544.5,-30.5,1942.0,-26.8,2056.8,-23.7,2313.0,-26.6,2595.8,-25.1
26,1516.1,-25.3,1606.3,-37.4,2019.7,-25.1,2139.0,-19.3,2405.5,-35.2,2699.6,-23.0
27,1574.4,-30.5,1668.1,-38.5,2097.4,-22.7,2221.3,-24.2,2498.0,-34.3,2803.4,-19.5
28,1632.7,-33.9,1729.8,-47.3,2175.0,-25.3,2303.6,-26.2,2590.6,-28.1,2907.2,-23.4
29,1691.0,-37.3,1791.6,-40.9,2252.7,-22.3,2385.8,-33.1,2683.1,-22.9,3011.1,-24.7
30,1749.3,-59.3,1853.4,-34.3,2330.4,-28.2,2468.1,-43.3,2775.6,-22.2,3114.9,-33.3
31,1807.6,-31.8,1915.2,-26.4,2408.1,-36.0,2550.4,-27.7,2868.1,-22.9,3218.7,-29.0
32,1865.9,-30.5,1977.0,-24.5,2485.8,-37.9,2632.6,-25.9,2960.6,-20.9,3322.6,-24.4
33,1924.2,-32.2,2038.7,-23.9,2563.4,-30.5,2714.9,-20.6,3053.2,-26.0,3426.4,-19.9
34,1982.5,-22.4,2100.5,-28.3,2641.1,-24.9,2797.2,-20.8,3145.7,-37.4,3530.2,-19.2
35,2040.9,-29.1,2162.3,-26.6,2718.8,-20.0,2879.4,-20.0,3238.2,-28.6,3634.0,-21.8
36,2099.2,-25.3,2224.1,-28.2,2796.5,-22.9,2961.7,-22.5,3330.7,-21.7,3737.9,-26.2
37,2157.5,-21.5,2285.9,-28.4,2874.2,-23.2,3044.0,-27.5,3423.2,-20.8,3841.7,-33.9
38,2215.8,-23.2,2347.6,-32.2,2951.8,-25.0,3126.3,-39.8,3515.8,-19.9,3945.5,-26.3
39,2274.1,-34.7,2409.4,-42.0,3029.5,-29.3,3208.5,-33.1,3608.3,-20.8,4049.4,-20.0
40,2332.4,-26.5,2471.2,-47.9,3107.2,-36.2,3290.8,-25.1,3700.8,-23.0,4153.2,-17.9
41,2390.7,-35.1,2533.0,-31.6,3184.9,-34.7,3373.1,-23.4,3793.3,-31.2,4257.0,-20.0
42,2449.0,-57.4,2594.8,-30.4,3262.6,-26.4,3455.3,-18.7,3885.8,-32.8,4360.9,-18.8
43,2507.3,-36.0,2656.5,-29.8,3340.2,-24.2,3537.6,-20.5,3978.4,-24.0,4464.7,-28.2
44,2565.6,-33.4,2718.3,-24.8,3417.9,-21.1,3619.9,-22.0,4070.9,-21.0,4568.5,-35.3
45,2624.0,-25.9,2780.1,-28.8,3495.6,-18.8,3702.1,-23.5,4163.4,-17.9,4672.4,-20.9
46,2682.3,-23.1,2841.9,-30.3,3573.3,-20.6,3784.4,-29.8,4255.9,-20.8,4776.2,-17.0
47,2740.6,-24.5,2903.7,-23.7,3651.0,-20.3,3866.7,-40.5,4348.4,-19.6,4880.0,-18.7
48,2798.9,-27.5,2965.4,-28.8,3728.6,-23.7,3949.0,-29.0,4441.0,-21.4,4983.8,-16.2
49,2857.2,-26.0,3027.2,-31.1,3806.3,-32.8,4031.2,-19.3,4533.5,-32.6,5087.7,-17.7
50,2915.5,-20.7,3089.0,-34.5,3884.0,-37.1,4113.5,-17.5,4626.0,-26.1,5191.5,-24.2
51,2973.8,-27.9,3150.8,-56.8,3961.7,-23.2,4195.8,-19.3,4718.5,-16.9,5295.3,-28.3
52,3032.1,-29.9,3212.6,-36.7,4039.4,-20.6,4278.0,-17.8,4811.0,-13.8,5399.2,-18.2
53,3090.4,-36.5,3274.3,-35.0,4117.0,-21.1,4360.3,-18.4,4903.6,-16.7,5503.0,-16.1
54,3148.7,-53.4,3336.1,-24.9,4194.7,-18.7,4442.6,-25.5,4996.1,-17.4,5606.8,-14.9
55,3207.1,-30.9,3397.9,-22.5,4272.4,-20.5,4524.8,-37.1,5088.6,-19.3,5710.6,-17.6
56,3265.4,-30.6,3459.7,-21.2,4350.1,-20.1,4607.1,-28.6,5181.1,-24.7,5814.5,-21.7
57,3323.7,-27.7,3521.5,-24.6,4427.8,-22.4,4689.4,-21.6,5273.6,-32.4,5918.3,-28.4
58,3382.0,-18.0,3583.2,-21.3,4505.4,-30.3,4771.7,-17.7,5366.2,-20.5,6022.1,-27.0
59,3440.3,-23.5,3645.0,-25.7,4583.1,-33.7,4853.9,-15.9,5458.7,-16.0,6126.0,-21.5
60,3498.6,-17.2,3706.8,-30.0,4660.8,-23.6,4936.2,-16.8,5551.2,-18.5,6229.8,-20.4
61,3556.9,-18.0,3768.6,-32.2,4738.5,-17.4,5018.5,-15.3,5643.7,-17.2,6333.6,-19.5
62,3615.2,-22.4,3830.4,-45.1,4816.2,-17.1,5100.7,-18.8,5736.2,-19.6,6437.5,-24.1
63,3673.5,-23.1,3892.1,-34.5,4893.8,-17.1,5183.0,-24.4,5828.8,-23.0,6541.3,-27.6
64,3731.8,-30.3,3953.9,-29.1,4971.5,-16.6,5265.3,-39.1,5921.3,-31.3,6645.1,-37.2
65,3790.2,-37.8,4015.7,-25.9,5049.2,-18.5,5347.6,-22.6,6013.8,-30.3,6748.9,-31.9
66,3848.5,-54.2,4077.5,-22.7,5126.9,-23.6,5429.8,-17.6,6106.3,-23.4,6852.8,-23.5
67,3906.8,-34.7,4139.3,-21.0,5204.6,-29.6,5512.1,-17.4,6198.8,-20.7,6956.6,-23.4
68,3965.1,-24.1,4201.0,-24.1,5282.2,-31.0,5594.4,-15.4,6291.4,-20.1,7060.4,-24.1
69,4023.4,-24.5,4262.8,-22.0,5359.9,-23.2,5676.6,-17.5,6383.9,-22.1,7164.3,-24.7
70,4081.7,-25.1,4324.6,-25.3,5437.6,-18.0,5758.9,-20.4,6476.4,-23.6,7268.1,-33.8
71,4140.0,-21.6,4386.4,-29.9,5515.3,-15.5,5841.2,-22.8,6568.9,-32.5,7371.9,-43.2
72,4198.3,-16.7,4448.2,-27.9,5593.0,-16.4,5923.4,-36.3,6661.4,-39.6,7475.8,-32.1
73,4256.6,-22.5,4509.9,-35.2,5670.6,-18.1,6005.7,-30.0,6754.0,-28.8,7579.6,-27.2
74,4314.9,-19.0,4571.7,-39.3,5748.3,-18.9,6088.0,-23.6,6846.5,-23.3,7683.4,-27.9
75,4373.2,-21.6,4633.5,-27.3,5826.0,-22.6,6170.2,-19.0,6939.0,-23.5,7787.2,-28.6
76,4431.6,-26.4,4695.3,-25.3,5903.7,-31.1,6252.5,-22.3,7031.5,-22.5,7891.1,-28.2
77,4489.9,-28.6,4757.1,-23.5,5981.4,-33.9,6334.8,-18.9,7124.0,-26.2,7994.9,-40.2
78,4548.2,-48.7,4818.8,-23.0,6059.0,-25.7,6417.1,-20.8,7216.6,-29.5,8098.7,-41.0
79,4606.5,-31.1,4880.6,-18.8,6136.7,-22.0,6499.3,-26.0,7309.1,-36.4,8202.6,-33.3
80,4664.8,-21.4,4942.4,-17.9,6214.4,-19.5,6581.6,-32.5,7401.6,-36.4,8306.4,-30.6
81,4723.1,-19.6,5004.2,-19.3,6292.1,-21.4,6663.9,-47.3,7494.1,-30.1,8410.2,-30.3
82,4781.4,-17.0,5066.0,-19.8,6369.8,-22.4,6746.1,-30.4,7586.6,-28.9,8514.1,-32.2
83,4839.7,-18.2,5127.7,-28.7,6447.4,-23.8,6828.4,-26.9,7679.2,-27.4,8617.9,-35.3
84,4898.0,-22.2,5189.5,-31.0,6525.1,-26.6,6910.7,-22.8,7771.7,-28.4,8721.7,-43.4
85,4956.4,-18.9,5251.3,-50.5,6602.8,-36.0,6992.9,-25.3,7864.2,-29.7,8825.5,-39.2
86,5014.7,-20.1,5313.1,-26.8,6680.5,-40.8,7075.2,-25.1,7956.7,-37.9,8929.4,-33.2
87,5073.0,-21.3,5374.9,-26.0,6758.2,-29.7,7157.5,-26.5,8049.2,-47.5,9033.2,-32.9
88,5131.3,-23.0,5436.6,-24.5,6835.8,-24.8,7239.8,-30.2,8141.8,-36.1,9137.0,-30.7
89,5189.6,-31.5,5498.4,-19.0,6913.5,-23.1,7322.0,-42.8,8234.3,-31.7,9240.9,-34.0
90,5247.9,-44.3,5560.2,-19.7,6991.2,-24.2,7404.3,-39.8,8326.8,-30.6,9344.7,-38.2
91,5306.2,-27.7,5622.0,-21.9,7068.9,-23.5,7486.6,-30.2,8419.3,-28.7,9448.5,-49.0
92,5364.5,-24.3,5683.8,-19.8,7146.6,-26.8,7568.8,-28.4,8511.8,-29.7,9552.4,-40.4
93,5422.8,-19.8,5745.5,-27.0,7224.2,-31.3,7651.1,-26.3,8604.4,-35.4,9656.2,-35.4
94,5481.1,-15.8,5807.3,-25.4,7301.9,-37.6,7733.4,-27.7,8696.9,-43.7,9760.0,-33.0
95,5539.4,-17.5,5869.1,-31.1,7379.6,-44.6,7815.6,-28.3,8789.4,-44.2,9863.9,-32.8
96,5597.8,-15.0,5930.9,-44.3,7457.3,-33.4,7897.9,-32.7,8881.9,-36.5,9967.7,-37.2
97,5656.1,-22.3,5992.7,-34.0,7535.0,-27.6,7980.2,-40.3,8974.4,-33.5,10071.5,-43.9
98,5714.4,-17.5,6054.4,-27.3,7612.6,-26.7,8062.5,-52.4,9067.0,-32.2,10175.3,-49.1
99,5772.7,-19.5,6116.2,-28.6,7690.3,-27.8,8144.7,-38.3,9159.5,-31.6,10279.2,-41.0
100,5831.0,-26.0,6178.0,-25.8,7768.0,-28.4,8227.0,-31.1,9252.0,-33.3,10383.0,-36.1
